commit,date,total_complexity,function_count,average_complexity
5b9525d3311aea22f772a830dbb9bd117c291224,2015-05-15,0,1,0.0
de4f5a545d9ed8030c1812c9afcfa3fd12cef541,2015-06-01,0,1,0.0
fc95d5c34a6525cfc2e1e5b5db0742e34c922335,2015-07-01,0,1,0.0
cf8498ab287fe0fbc03c8fd0065e52d769b6fb89,2015-08-02,0,1,0.0
f33f5c170dbb80172b015fbcbbb9938dc7e8da6e,2015-09-13,0,1,0.0
bb3a7935f80a1e091b36a7b8c5f88b21ef6a6f1a,2015-10-02,0,1,0.0
a6c4e2832db5ec41efa3e21e35f8d785dcc0ad76,2015-11-01,0,1,0.0
9bc334cea470c94d5e2b28469d2358cf6117beea,2015-12-01,0,1,0.0
b2af45a5a592e434e6fcbd21deece4961b220bfd,2016-01-02,0,1,0.0
e49d343af6235ef7b2f3ad37a9f83110f90b9cd6,2016-02-10,0,1,0.0
fcd2c9ba6937eb22f2f670fae60335bd81280c1b,2016-03-02,0,1,0.0
daea3f8b7137804e47bce9f23a5d7b02a48111b0,2016-04-01,0,1,0.0
6c2ffac6b002a480903f9d6c547265427df5ffd4,2016-05-03,0,1,0.0
481490aeba64c05191724316dc8ac9c2b4e42f11,2016-06-01,0,1,0.0
10300dd2256f2be016f57a8289dbe70d9d1b91e4,2016-07-04,0,1,0.0
2588cfb6a42f7d9d44b5d07118a921e24df32802,2016-09-06,0,1,0.0
d639cec780dd0c458886210234cdafa893c5c51c,2016-10-04,0,1,0.0
f81eec85b19d525390e05eea4e3da7011cb4945d,2016-12-01,0,1,0.0
9ed0b09975db50c1d7ff42be5883a8d91f8292b7,2017-01-03,0,1,0.0
c2f2f27552125be7725e0b860213813a62319701,2017-02-01,0,1,0.0
1342f67d74663354f3ed850d90e53326e4dafa84,2017-03-01,0,1,0.0
17c36a95ea7670e0fb9f1723a620356afdaedcaf,2017-04-07,0,1,0.0
717fa8f2df281f41dce709df6ebb9bccd7be1c53,2017-05-02,0,1,0.0
0f825f657bd36f692074177aee6af91fc209fdeb,2017-06-01,0,1,0.0
36aac8fd6e2c40eca293440bfb9984b711fc2ca5,2017-07-06,0,1,0.0
5246172d48af81eeaa5b6f75bbe5cc3a14aec047,2017-10-06,0,1,0.0
656eb2f6ad8495ccd3f84218b9b6a293918a7556,2017-11-01,0,1,0.0
e609581030cf396156c1f7d8e3eddf0eb89c8daa,2017-12-02,0,1,0.0
254c8aa570b8f586f6a946390eab2a84ef6e4fe1,2018-01-04,0,1,0.0
c660fef6f75aff7fdffba54647f33de886bded23,2018-02-21,0,1,0.0
bb536344f37c6171df702f6cb97c3352868a416a,2018-03-03,0,1,0.0
9d3cb952cab92f10a925e7d8d26e9eea42ed7b96,2018-04-05,0,1,0.0
3c66c3da0e71d6a039b42e1fb1704abe6049c5d5,2018-05-04,0,1,0.0
4dbc2e7ec69fcac55fa2d3ec7349a73ad987dc26,2018-06-01,0,1,0.0
97eaa8342b750aa549e757810265a31c7e2a137d,2018-07-03,0,1,0.0
cb7f96cc3f6b4f911959bd0ade04d4f14abb84ab,2018-08-26,0,1,0.0
0a12c540a71b75ae38128e10150608275ea8a1d7,2018-09-22,0,1,0.0
8ada4e2efedf0ba3055a659bf9c12f0368c422f8,2018-10-12,0,1,0.0
2ec2f40bba36bf073118f70b06d1a38f7e6a5ced,2018-11-03,0,1,0.0
3386da9cc0781a7978a58caa512af7400da27048,2018-12-05,0,1,0.0
a8b6cc112f950ce7481e020e1d17dc9e14c70453,2019-01-01,0,1,0.0
6610564ae3e8eb0cf87ec7ef3f5c598f6f107b81,2019-02-03,0,1,0.0
c9b450698561acff88b3e4a578e30778e16a1453,2019-04-10,0,1,0.0
